"section","metric","value","detail"
"corpus","documents","1171897",""
"corpus","chars","1844140560","raw, before whitespace normalization"
"corpus","bytes_utf8","1944925241",""
"corpus","unique_chars","8070",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","4744",""
"vocab","final_vocab_size","5000",""
"vocab","target_vocab_size","5000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"compression","base_units_total","1944925241","raw UTF-8 bytes"
"compression","final_tokens_total","559410829",""
"compression","compression_ratio","3.477","base units absorbed per final token"
"compression","chars_per_token","3.297","approx; whitespace collapsed before training"
"timing","load_seconds","33.631","wall time to load the corpus"
"timing","train_seconds","13111.279","wall time to train the tokenizer"
"timing","base_units_per_second","148340","training throughput over the base stream"
"top_token"," w","12191023","rank=1 id=258 share=2.18% base_units=2 merge=yes"
"top_token"," i","5660357","rank=2 id=289 share=1.01% base_units=2 merge=yes"
"top_token",",","5389997","rank=3 id=44 share=0.96% base_units=1 merge=no"
"top_token",".","5208308","rank=4 id=46 share=0.93% base_units=1 merge=no"
"top_token"," z","5131272","rank=5 id=264 share=0.92% base_units=2 merge=yes"
"top_token"," na","4809955","rank=6 id=286 share=0.86% base_units=3 merge=yes"
"top_token"," do","3831428","rank=7 id=312 share=0.68% base_units=3 merge=yes"
"top_token"," W","3585861","rank=8 id=296 share=0.64% base_units=2 merge=yes"
"top_token"," się","2865949","rank=9 id=347 share=0.51% base_units=5 merge=yes"
"top_token","na","2051877","rank=10 id=262 share=0.37% base_units=2 merge=yes"
