"section","metric","value","detail"
"corpus","documents","1171897",""
"corpus","chars","1844140560","raw, before whitespace normalization"
"corpus","bytes_utf8","1944925241",""
"corpus","unique_chars","8070",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","9744",""
"vocab","final_vocab_size","10000",""
"vocab","target_vocab_size","10000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","5000","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__wikipedia-pl__5000","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","5000","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","1944928235","raw UTF-8 bytes"
"compression","final_tokens_total","481575372",""
"compression","compression_ratio","4.039","base units absorbed per final token"
"compression","chars_per_token","3.829","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","89.216","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","1485.219","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","1309523","training throughput over the base stream (uses cumulative time)"
"top_token"," w","11818283","rank=1 id=258 share=2.45% base_units=2 merge=yes"
"top_token"," i","5526460","rank=2 id=289 share=1.15% base_units=2 merge=yes"
"top_token"," z","4609347","rank=3 id=264 share=0.96% base_units=2 merge=yes"
"top_token"," na","4549543","rank=4 id=286 share=0.94% base_units=3 merge=yes"
"top_token"," do","3506184","rank=5 id=312 share=0.73% base_units=3 merge=yes"
"top_token",",","3504996","rank=6 id=44 share=0.73% base_units=1 merge=no"
"top_token"," W","3263373","rank=7 id=296 share=0.68% base_units=2 merge=yes"
"top_token",".","3184742","rank=8 id=46 share=0.66% base_units=1 merge=no"
"top_token"," się","2832985","rank=9 id=347 share=0.59% base_units=5 merge=yes"
"top_token"," –","1889635","rank=10 id=388 share=0.39% base_units=4 merge=yes"
