"section","metric","value","detail"
"corpus","documents","486",""
"corpus","chars","5348450","raw, before whitespace normalization"
"corpus","bytes_utf8","5366695",""
"corpus","unique_chars","252",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","9744",""
"vocab","final_vocab_size","10000",""
"vocab","target_vocab_size","10000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","5000","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__random-text-files__5000","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","5000","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","5366695","raw UTF-8 bytes"
"compression","final_tokens_total","1165836",""
"compression","compression_ratio","4.603","base units absorbed per final token"
"compression","chars_per_token","4.588","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","0.979","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","8.188","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","655461","training throughput over the base stream (uses cumulative time)"
"top_token"," the","43988","rank=1 id=264 share=3.77% base_units=4 merge=yes"
"top_token"," of","23185","rank=2 id=287 share=1.99% base_units=3 merge=yes"
"top_token"," and","22145","rank=3 id=289 share=1.90% base_units=4 merge=yes"
"top_token"," to","20097","rank=4 id=290 share=1.72% base_units=3 merge=yes"
"top_token"," a","14362","rank=5 id=257 share=1.23% base_units=2 merge=yes"
"top_token"," in","14143","rank=6 id=281 share=1.21% base_units=3 merge=yes"
"top_token"," is","10557","rank=7 id=315 share=0.91% base_units=3 merge=yes"
"top_token",".","9829","rank=8 id=46 share=0.84% base_units=1 merge=no"
"top_token",",","9771","rank=9 id=44 share=0.84% base_units=1 merge=no"
"top_token"," that","7588","rank=10 id=338 share=0.65% base_units=5 merge=yes"
