"section","metric","value","detail"
"corpus","documents","1384748",""
"corpus","chars","1030636635","raw, before whitespace normalization"
"corpus","bytes_utf8","2602952850",""
"corpus","unique_chars","29554",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","4744",""
"vocab","final_vocab_size","5000",""
"vocab","target_vocab_size","5000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","1000","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__wikipedia-zh__1000","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","4000","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","2670106045","raw UTF-8 bytes"
"compression","final_tokens_total","904114273",""
"compression","compression_ratio","2.953","base units absorbed per final token"
"compression","chars_per_token","1.14","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","341.747","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","926.967","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","2880475","training throughput over the base stream (uses cumulative time)"
"top_token"," ，","25089933","rank=1 id=261 share=2.78% base_units=4 merge=yes"
"top_token","的","18156889","rank=2 id=263 share=2.01% base_units=3 merge=yes"
"top_token"," 。","14164691","rank=3 id=267 share=1.57% base_units=4 merge=yes"
"top_token","年","10197375","rank=4 id=274 share=1.13% base_units=3 merge=yes"
"top_token"," 、","6292212","rank=5 id=288 share=0.70% base_units=4 merge=yes"
"top_token","中","5743946","rank=6 id=291 share=0.64% base_units=3 merge=yes"
"top_token","一","5663877","rank=7 id=293 share=0.63% base_units=3 merge=yes"
"top_token","在","5650058","rank=8 id=294 share=0.62% base_units=3 merge=yes"
"top_token","人","5566099","rank=9 id=297 share=0.62% base_units=3 merge=yes"
"top_token","是","4482498","rank=10 id=308 share=0.50% base_units=3 merge=yes"
