"section","metric","value","detail"
"corpus","documents","3",""
"corpus","chars","1081002","raw, before whitespace normalization"
"corpus","bytes_utf8","1175927",""
"corpus","unique_chars","96",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","9744",""
"vocab","final_vocab_size","10000",""
"vocab","target_vocab_size","10000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","5000","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__nad-niemnem__5000","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","5000","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","1175927","raw UTF-8 bytes"
"compression","final_tokens_total","248360",""
"compression","compression_ratio","4.735","base units absorbed per final token"
"compression","chars_per_token","4.353","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","0.47","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","4.958","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","237161","training throughput over the base stream (uses cumulative time)"
"top_token"," i","7370","rank=1 id=271 share=2.97% base_units=2 merge=yes"
"top_token"," —","3657","rank=2 id=308 share=1.47% base_units=4 merge=yes"
"top_token"," z","3536","rank=3 id=263 share=1.42% base_units=2 merge=yes"
"top_token"," się","3499","rank=4 id=301 share=1.41% base_units=5 merge=yes"
"top_token"," w","3482","rank=5 id=262 share=1.40% base_units=2 merge=yes"
"top_token"," na","2872","rank=6 id=287 share=1.16% base_units=3 merge=yes"
"top_token"," nie","2506","rank=7 id=293 share=1.01% base_units=4 merge=yes"
"top_token"," do","1674","rank=8 id=313 share=0.67% base_units=3 merge=yes"
"top_token",".","1649","rank=9 id=46 share=0.66% base_units=1 merge=no"
"top_token","…","1403","rank=10 id=323 share=0.56% base_units=3 merge=yes"
