"section","metric","value","detail"
"corpus","documents","6141",""
"corpus","chars","259776717","raw, before whitespace normalization"
"corpus","bytes_utf8","281206491",""
"corpus","unique_chars","420",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","0","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","744","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","281206491","raw UTF-8 bytes"
"compression","final_tokens_total","109246722",""
"compression","compression_ratio","2.574","base units absorbed per final token"
"compression","chars_per_token","2.378","approx; whitespace collapsed before training"
"timing","load_seconds","4.833","wall time to load the corpus"
"timing","train_seconds","274.602","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","274.602","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","1024052","training throughput over the base stream (uses cumulative time)"
"top_token",",","2130557","rank=1 id=44 share=1.95% base_units=1 merge=no"
"top_token",".","1636201","rank=2 id=46 share=1.50% base_units=1 merge=no"
"top_token"," w","1496358","rank=3 id=261 share=1.37% base_units=2 merge=yes"
"top_token"," i","1249440","rank=4 id=279 share=1.14% base_units=2 merge=yes"
"top_token"," z","1176476","rank=5 id=264 share=1.08% base_units=2 merge=yes"
"top_token"," nie","998282","rank=6 id=294 share=0.91% base_units=4 merge=yes"
"top_token"," na","953318","rank=7 id=286 share=0.87% base_units=3 merge=yes"
"top_token"," —","943594","rank=8 id=303 share=0.86% base_units=4 merge=yes"
"top_token"," się","932014","rank=9 id=299 share=0.85% base_units=5 merge=yes"
"top_token","d","923206","rank=10 id=100 share=0.85% base_units=1 merge=no"
