"section","metric","value","detail"
"corpus","documents","486",""
"corpus","chars","5348450","raw, before whitespace normalization"
"corpus","bytes_utf8","5366695",""
"corpus","unique_chars","252",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","4744",""
"vocab","final_vocab_size","5000",""
"vocab","target_vocab_size","5000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","1000","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__random-text-files__1000","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","4000","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","5366695","raw UTF-8 bytes"
"compression","final_tokens_total","1356498",""
"compression","compression_ratio","3.956","base units absorbed per final token"
"compression","chars_per_token","3.943","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","1.748","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","7.209","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","744495","training throughput over the base stream (uses cumulative time)"
"top_token"," the","44117","rank=1 id=264 share=3.25% base_units=4 merge=yes"
"top_token"," of","23228","rank=2 id=287 share=1.71% base_units=3 merge=yes"
"top_token"," and","22174","rank=3 id=289 share=1.63% base_units=4 merge=yes"
"top_token"," to","20249","rank=4 id=290 share=1.49% base_units=3 merge=yes"
"top_token",",","16123","rank=5 id=44 share=1.19% base_units=1 merge=no"
"top_token",".","15266","rank=6 id=46 share=1.13% base_units=1 merge=no"
"top_token"," a","14740","rank=7 id=257 share=1.09% base_units=2 merge=yes"
"top_token"," in","14323","rank=8 id=281 share=1.06% base_units=3 merge=yes"
"top_token","s","11174","rank=9 id=115 share=0.82% base_units=1 merge=no"
"top_token"," is","10557","rank=10 id=315 share=0.78% base_units=3 merge=yes"
