"section","metric","value","detail"
"corpus","documents","3",""
"corpus","chars","1081002","raw, before whitespace normalization"
"corpus","bytes_utf8","1175927",""
"corpus","unique_chars","96",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","0","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","744","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","1175927","raw UTF-8 bytes"
"compression","final_tokens_total","433985",""
"compression","compression_ratio","2.71","base units absorbed per final token"
"compression","chars_per_token","2.491","approx; whitespace collapsed before training"
"timing","load_seconds","0.229","wall time to load the corpus"
"timing","train_seconds","3.646","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","3.646","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","322482","training throughput over the base stream (uses cumulative time)"
"top_token",",","9034","rank=1 id=44 share=2.08% base_units=1 merge=no"
"top_token"," i","7974","rank=2 id=271 share=1.84% base_units=2 merge=yes"
"top_token"," w","5649","rank=3 id=262 share=1.30% base_units=2 merge=yes"
"top_token"," z","5534","rank=4 id=263 share=1.28% base_units=2 merge=yes"
"top_token",".","4848","rank=5 id=46 share=1.12% base_units=1 merge=no"
"top_token"," na","3921","rank=6 id=287 share=0.90% base_units=3 merge=yes"
"top_token","t","3915","rank=7 id=116 share=0.90% base_units=1 merge=no"
"top_token"," nie","3747","rank=8 id=293 share=0.86% base_units=4 merge=yes"
"top_token"," —","3657","rank=9 id=308 share=0.84% base_units=4 merge=yes"
"top_token"," się","3650","rank=10 id=301 share=0.84% base_units=5 merge=yes"
