"section","metric","value","detail"
"corpus","documents","1384748",""
"corpus","chars","1030636635","raw, before whitespace normalization"
"corpus","bytes_utf8","2602952850",""
"corpus","unique_chars","29554",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","0","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","744","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","2670106045","raw UTF-8 bytes"
"compression","final_tokens_total","1238625822",""
"compression","compression_ratio","2.156","base units absorbed per final token"
"compression","chars_per_token","0.832","approx; whitespace collapsed before training"
"timing","load_seconds","15.886","wall time to load the corpus"
"timing","train_seconds","585.22","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","585.22","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","4562569","training throughput over the base stream (uses cumulative time)"
"top_token"," ，","25817609","rank=1 id=261 share=2.08% base_units=4 merge=yes"
"top_token","的","18156889","rank=2 id=263 share=1.47% base_units=3 merge=yes"
"top_token"," 。","14901102","rank=3 id=267 share=1.20% base_units=4 merge=yes"
"top_token","年","10197375","rank=4 id=274 share=0.82% base_units=3 merge=yes"
"top_token"," ","9852927","rank=5 id=32 share=0.80% base_units=1 merge=no"
"top_token","x8d","6425947","rank=6 id=141 share=0.52% base_units=1 merge=no"
"top_token"," 、","6324452","rank=7 id=288 share=0.51% base_units=4 merge=yes"
"top_token","中","5743946","rank=8 id=291 share=0.46% base_units=3 merge=yes"
"top_token","x88","5735227","rank=9 id=136 share=0.46% base_units=1 merge=no"
"top_token","xa6","5731210","rank=10 id=166 share=0.46% base_units=1 merge=no"
